Icon glyphs present in Cozette v1.30.0 (from the released cozette.bdf cmap).
Names come from the Nerd Fonts glyphnames.json; a codepoint with several
names lists them all. Grouped by family, sorted by codepoint.

582 icons (482 named, 100 unnamed) out of 6046 glyphs in the font.

Use in sdn-config.yaml as a YAML escape, e.g.  "\uE73C"

== Font Awesome  (166) ======================================

  U+F0306  󰌆  \U000F0306  md-key
  U+F031B  󰌛  \U000F031B  md-language_csharp
  U+F0320  󰌠  \U000F0320  md-language_python
  U+F0411  󰐑  \U000F0411  md-playlist_play
  U+F048B  󰒋  \U000F048B  md-server
  U+F048D  󰒍  \U000F048D  md-server_network
  U+F04B2  󰒲  \U000F04B2  md-sleep
  U+F051F  󰔟  \U000F051F  md-timer_sand
  U+F05AF  󰖯  \U000F05AF  md-window_maximize
  U+F05B0  󰖰  \U000F05B0  md-window_minimize
  U+F05C6  󰗆  \U000F05C6  md-vector_rectangle
  U+F0645  󰙅  \U000F0645  md-file_tree
  U+F06A5  󰚥  \U000F06A5  md-power_plug
  U+F06A9  󰚩  \U000F06A9  md-robot
  U+F072B  󰜫  \U000F072B  md-webpack
  U+F07D4  󰟔  \U000F07D4  md-language_r
  U+F0844  󰡄  \U000F0844  md-vuejs
  U+F0A0A  󰨊  \U000F0A0A  md-powershell
  U+F10FE  󱃾  \U000F10FE  md-kubernetes
  U+F116B  󱅫  \U000F116B  md-bell_badge
  U+F1211  󱈑  \U000F1211  md-battery_heart_variant
  U+F1417  󱐗  \U000F1417  md-pail

== Devicons  (70) ==========================================

  U+0E702    \uE702      dev-git
  U+0E703    \uE703      dev-bitbucket
  U+0E706    \uE706      dev-database
  U+0E707    \uE707      dev-dropbox
  U+0E70C    \uE70C      dev-visualstudio
  U+0E70E    \uE70E      dev-android
  U+0E70F    \uE70F      dev-windows
  U+0E711    \uE711      dev-apple
  U+0E712    \uE712      dev-linux
  U+0E716    \uE716      dev-codepen
  U+0E718    \uE718      dev-nodejs_small
  U+0E71E    \uE71E      dev-npm
  U+0E725    \uE725      dev-git_branch
  U+0E726    \uE726      dev-git_pull_request
  U+0E727    \uE727      dev-git_merge
  U+0E728    \uE728      dev-git_compare
  U+0E729    \uE729      dev-git_commit
  U+0E72D    \uE72D      dev-smashing_magazine
  U+0E736    \uE736      dev-html5
  U+0E737    \uE737      dev-scala
  U+0E738    \uE738      dev-java
  U+0E739    \uE739      dev-ruby
  U+0E73A    \uE73A      dev-ubuntu
  U+0E73B    \uE73B      dev-rails, dev-ruby_on_rails
  U+0E73C    \uE73C      dev-python
  U+0E73D    \uE73D      dev-php
  U+0E73E    \uE73E      dev-markdown
  U+0E73F    \uE73F      dev-laravel
  U+0E743    \uE743      dev-chrome
  U+0E745    \uE745      dev-firefox
  U+0E746    \uE746      dev-opera
  U+0E749    \uE749      dev-css3
  U+0E74A    \uE74A      dev-css3_full
  U+0E74E    \uE74E      dev-javascript_alt
  U+0E755    \uE755      dev-swift
  U+0E756    \uE756      dev-azuredevops
  U+0E757    \uE757      dev-symfony, dev-symfony_badge
  U+0E758    \uE758      dev-less
  U+0E759    \uE759      dev-stylus
  U+0E764    \uE764      dev-atom
  U+0E768    \uE768      dev-clojure
  U+0E769    \uE769      dev-perl
  U+0E76A    \uE76A      dev-clojure_alt
  U+0E76D    \uE76D      dev-redis
  U+0E76E    \uE76E      dev-postgresql
  U+0E777    \uE777      dev-haskell
  U+0E779    \uE779      dev-gnu
  U+0E77B    \uE77B      dev-heroku
  U+0E77F    \uE77F      dev-dotnet
  U+0E781    \uE781      dev-javascript, dev-javascript_badge
  U+0E786    \uE786      dev-mozilla
  U+0E791    \uE791      dev-ruby_rough
